"October 2020 : UK Category Changes","","","","","","","","","",""
"","","","","","","","","","",""
"Change Type","Count","","","","","","","","",""
"New","276","","","","","","","","",""
"Retired","405","","","","","","","","",""
"Rename","176","","","","","","","","",""
"Move","52","","","","","","","","",""
"Move & Rename","23","","","","","","","","",""
"Total","932","","","","","","","","",""
"","","","","","","","","","",""
"Category Name","","","","","","","","Category ID","Comments","Actions Required"
"+","Antiques","","","","","","","20081","",""
"+","Art","","","","","","","550","",""
"","","","","Pool Equipment Parts","","","","181070","Renamed from [Pool Equipment Parts & Accs]",""
"","","","","Pool Equipment Accessories","","","","261026","New Category",""
"","","","","Other Pool Equipment & Parts","","","","181071","",""
"","","+","Swimming Pools","","","","","181053","",""
"","","","Outdoor Showers","","","","","99700","New Category",""
"","","","Saunas","","","","","181054","",""
"","","","Sauna Heaters","","","","","27538","",""
"","","","Sauna Parts","","","","","261027","New Category",""
"","","","Sauna Accessories","","","","","126415","Renamed from [Sauna Parts & Accessories]",""
"","","","Other Swimming Pools, Saunas & Hot Tubs","","","","","3243","Renamed from [Other Swimming Pool & Hot Tub]",""
"","-","Watering Equipment","","","","","","29521","",""
"","","","Connectors, Valves & Accessories","","","","","181013","Renamed from [Connectors, Clamps & Fittings]",""
"","","","Hose Guides","","","","","181014","All listings are being moved into [Hose Reels & Storage - 46435].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Valves","","","","","75673","All listings are being moved into [Connectors, Valves & Accessories - 181013].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Hose Reels & Storage","","","","","46435","",""
"","","","Hoses","","","","","151604","",""
"","","-","Irrigation Systems","","","","","260938","New Category",""
"","","","","Drip Irrigation Kits","","","","139909","Moved from [Watering Equipment-29521] Renamed from [Irrigation Systems]",""
"","","","","Irrigation System Parts","","","","260939","New Category",""
"","","","","Lawn Sprinklers & Sprinkler Heads","","","","20542","Moved from [Watering Equipment-29521] Renamed from [Lawn Sprinklers]",""
"","","","Spigots","","","","","181012","",""
"","","","Spray Guns, Hose Nozzles & Wands","","","","","181015","Renamed from [Hose Guns & Nozzles]",""
"","","","Water Butts","","","","","139915","",""
"","","","Water Pumps & Pressure Tanks","","","","","118851","",""
"","","","Watering Cans & Spray Bottles","","","","","20547","Renamed from [Watering Cans]",""
"","","","Watering Timers & Controllers","","","","","75672","",""
"","","","Other Watering Equipment","","","","","29522","",""
"","-","Weed & Pest Control","","","","","","181034","",""
"","","","Animal & Rodent Control","","","","","181045","Renamed from [Rodent & Animal Traps]",""
"","","-","Insect & Grub Control","","","","","181036","",""
"","","","","Foggers","","","","181037","",""
"","","","","Insect Repellent Sprays","","","","181038","",""
"","","","","Insect Traps & Baits","","","","181039","",""
"","","","","Insect Zappers","","","","181040","",""
"","","","","Insecticides","","","","181041","",""
"","","","","Swatters","","","","181042","",""
"","","","Protective Netting & Mesh","","","","","181046","Renamed from [Protective Netting/Mesh]",""
"","","","Rodenticides & Baits","","","","","181044","",""
"","","","Repellents & Deterrents","","","","","260951","New Category",""
"","","","Ultrasonic Pest Repellers","","","","","181035","",""
"","","+","Weed Control","","","","","181047","",""
"","","","Other Weed & Pest Control","","","","","50365","",""
"","","Other Garden & Patio","","","","","","159913","",""
"-","Health & Beauty","","","","","","","26395","",""
"","-","Bath & Body","","","","","","11838","",""
"","","","Body Soaps","","","","","180924","Renamed from [Bar Soaps]",""
"","","","Bath Bombs","","","","","72759","",""
"","","","Bath Brushes & Sponges","","","","","74990","",""
"","","","Bath Oils","","","","","31751","",""
"","","","Bath Salts","","","","","67390","",""
"","","","Bath Sets & Kits","","","","","67391","",""
"","","","Body Cleansers","","","","","31754","",""
"","","","Body Lotions & Moisturisers","","","","","11841","All listings are being moved into [Moisturisers - 21205].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Body Powders","","","","","29581","",""
"","","","Body Scrubs & Exfoliants","","","","","31752","All listings are being moved into [Exfoliators & Scrubs - 29582].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Body Sprays & Mists","","","","","31753","",""
"","","","Bubble Baths","","","","","31755","",""
"","","","Deodorants & Anti-Perspirants","","","","","29580","",""
"","","","Hand Washes","","","","","180918","",""
"","","","Scar & Stretch Mark Reducers","","","","","74994","",""
"","","","Shower Caps","","","","","182100","",""
"","","","Travel Bottles & Containers","","","","","180925","",""
"","","","Bath & Body Mixed Items & Gift Sets","","","","","29584","Renamed from [Mixed Items & Gift Sets]",""
"","","","Other Bath & Body","","","","","11837","All listings are being moved into [Body Soaps - 180924].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","-","Facial Skin Care","","","","","","11863","",""
"","","","Acne & Blemish Treatments","","","","","29618","",""
"","","","Anti-Ageing","","","","","33164","",""
"","","","Blotting Paper","","","","","75006","",""
"","","","Cleansers & Toners","","","","","177765","",""
"","","","Cotton Buds","","","","","182112","",""
"","","","Exfoliators & Scrubs","","","","","29582","",""
"","","","Eye Treatments & Masks","","","","","177764","",""
"","","","Facial Cleansing Devices","","","","","177767","Renamed from [Home Skin Care Devices]",""
"","","","Facial Cleansing Device Parts","","","","","260788","New Category",""
"","","","Lightening Creams","","","","","40088","",""
"","","","Lip Balm & Treatments","","","","","36870","",""
"","","","Make-Up Removers","","","","","172032","",""
"","","","Skin Masks","","","","","21022","Renamed from [Masks & Peels]",""
"","","","Skin Peels","","","","","260789","New Category",""
"","","","Microdermabrasion Tools","","","","","101925","",""
"","","","Moisturisers","","","","","21205","",""
"","","","Night Treatments","","","","","101926","",""
"","","","Kits & Gift-Sets","","","","","67500","",""
"","","","Other Facial Skin Care","","","","","11862","All listings are being moved into [Moisturisers - 21205].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","+","Fragrances","","","","","","180345","",""
"","-","Hair Care & Styling","","","","","","11854","",""
"","","","Brushes & Combs","","","","","11855","",""
"","","","Bands, Clips & Styling Accs","","","","","82591","",""
"","","","Hair Colourants","","","","","31412","",""
"","","-","Hair Extensions & Wigs","","","","","182101","",""
"","","","","Hair Extensions","","","","175636","",""
"","","","","Wigs & Hairpieces","","","","175635","",""
"","","","","Wig & Extension Supplies","","","","175637","",""
"","","","","Other Extensions & Wigs","","","","163581","All listings are being moved into [Wigs & Hairpieces - 175635].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Hair Loss Treatments","","","","","31413","",""
